"pais","continente","población","porcentaje","cantidad"
"Alemania","Europa",83,1,0.83
"Chile","América",19,1,0.19
"Argentina","América",45,1,0.45
"Suecia","Europa",10,3,0.3
"España","Europa",46,0,0
"Hungría","Europa",9,1,0.09
"Australia","Oceanía",25,1,0.25
"Malasia","Asia",32,0,0
"Canada","América",37,1,0.37
"Francia","Europa",65,0,0
"Reino Unido","Europa",67,1,0.67
"Turquia","Asia",84,0,0
"Peru","América",32,0,0
"Bélgica","Europa",11,1,0.11
"Italia","Europa",60,1,0.6
"Corea del Sur","Asia",51,1,0.51
"Holanda","Europa",17,0,0
"Colombia","Latinomérica",50,0,0
"Polonia","Europa",37,2,0.74
"Sudafrica","África",59,1,0.59
